iter	Passed	Remaining
0	151	151086
1	154	77146
2	155	51788
3	157	39094
4	158	31507
5	159	26431
6	160	22804
7	163	20254
8	164	18161
9	166	16451
10	167	15051
11	168	13890
12	169	12898
13	171	12055
14	172	11320
15	173	10693
16	174	10115
17	176	9601
18	177	9172
19	179	8780
20	180	8405
21	181	8063
22	182	7745
23	183	7454
24	184	7185
25	185	6941
26	186	6709
27	187	6492
28	187	6293
29	188	6109
30	190	5940
31	191	5806
32	193	5665
33	194	5528
34	195	5394
35	196	5270
36	197	5151
37	199	5038
38	200	4933
39	201	4831
40	202	4732
41	204	4668
42	206	4594
43	207	4508
44	208	4424
45	209	4341
46	210	4267
47	211	4197
48	212	4123
49	213	4050
50	213	3980
51	214	3913
52	215	3848
53	216	3785
54	216	3724
55	217	3666
56	218	3609
57	218	3555
58	219	3506
59	221	3464
60	222	3419
61	223	3374
62	223	3329
63	224	3287
64	225	3245
65	226	3203
66	227	3162
67	227	3121
68	228	3082
69	229	3044
70	229	3007
71	230	2971
72	231	2935
73	231	2901
74	232	2868
75	233	2839
76	235	2818
77	236	2791
78	237	2764
79	238	2737
80	238	2711
81	239	2686
82	240	2657
83	241	2632
84	242	2606
85	242	2580
86	243	2555
87	244	2530
88	244	2506
89	245	2482
90	246	2459
91	247	2439
92	247	2418
93	249	2400
94	249	2381
95	250	2362
96	251	2342
97	252	2322
98	252	2302
99	253	2283
100	254	2263
101	255	2245
102	255	2226
103	256	2208
104	256	2190
105	257	2172
106	258	2155
107	258	2138
108	259	2122
109	260	2105
110	261	2091
111	261	2076
112	262	2061
113	263	2049
114	264	2037
115	265	2024
116	266	2008
117	266	1994
118	267	1980
119	268	1966
120	268	1952
121	269	1938
122	269	1925
123	270	1912
124	271	1899
125	271	1886
126	272	1873
127	273	1860
128	273	1848
129	274	1836
130	275	1828
131	276	1818
132	277	1808
133	278	1801
134	279	1793
135	280	1784
136	281	1774
137	282	1765
138	283	1756
139	284	1746
140	285	1738
141	285	1727
142	286	1718
143	287	1710
144	288	1702
145	289	1694
146	290	1686
147	291	1679
148	293	1673
149	294	1667
150	295	1660
151	296	1653
152	297	1646
153	298	1639
154	299	1633
155	300	1627
156	301	1620
157	303	1614
158	304	1609
159	305	1603
160	306	1596
161	307	1591
162	308	1586
163	310	1580
164	311	1574
165	312	1568
166	313	1562
167	314	1557
168	315	1551
169	317	1552
170	319	1546
171	320	1541
172	321	1536
173	322	1532
174	323	1526
175	324	1521
176	325	1514
177	326	1509
178	328	1506
179	329	1502
180	330	1496
181	331	1491
182	332	1486
183	334	1481
184	335	1479
185	337	1474
186	338	1469
187	339	1465
188	340	1460
189	341	1454
190	342	1450
191	343	1445
192	344	1441
193	345	1436
194	346	1431
195	347	1425
196	348	1420
197	350	1419
198	351	1415
199	352	1411
200	354	1407
201	355	1403
202	356	1399
203	357	1395
204	358	1390
205	359	1386
206	360	1382
207	361	1378
208	363	1374
209	364	1372
210	366	1368
211	367	1365
212	368	1360
213	369	1356
214	370	1352
215	371	1349
216	372	1344
217	373	1340
218	374	1336
219	375	1332
220	377	1328
221	378	1326
222	379	1323
223	380	1319
224	381	1314
225	382	1310
226	383	1307
227	385	1303
228	386	1300
229	387	1296
230	388	1292
231	389	1290
232	391	1287
233	392	1284
